Id	Name	Desc	SkillActiveCondition	SkillStatusType	StatusChangeType	InvokeCount	InvokeTime	SkillBound	SkillTarget	SkillTargetBound	RefSkillValueTarget	RefSkillStatusType	RefSkillValueAmount	InvokeParticle	ApplyParticle
4031	SKILL_NAME_0031	SKILL_DESC_0031	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4032	SKILL_NAME_0032	SKILL_DESC_0032	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4033	SKILL_NAME_0033	SKILL_DESC_0033	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4034	SKILL_NAME_0034	SKILL_DESC_0034	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4035	SKILL_NAME_0035	SKILL_DESC_0035	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4036	SKILL_NAME_0036	SKILL_DESC_0036	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4037	SKILL_NAME_0037	SKILL_DESC_0037	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4038	SKILL_NAME_0038	SKILL_DESC_0038	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4039	SKILL_NAME_0039	SKILL_DESC_0039	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4040	SKILL_NAME_0040	SKILL_DESC_0040	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4041	SKILL_NAME_0041	SKILL_DESC_0041	OnActive	Attack	Decrease	1	0	Self	Enemy	1	Self	Attack	1	9000	9000
4042	SKILL_NAME_0042	SKILL_DESC_0042	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4043	SKILL_NAME_0043	SKILL_DESC_0043	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4044	SKILL_NAME_0044	SKILL_DESC_0044	OnActive	Attack	Decrease	1	0	Self	Enemy	1	Self	Attack	1	9000	9000
4045	SKILL_NAME_0045	SKILL_DESC_0045	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4046	SKILL_NAME_0046	SKILL_DESC_0046	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
4047	SKILL_NAME_0047	SKILL_DESC_0047	OnActive	Attack	Decrease	1	0	Self	Enemy	0	Self	Attack	1	9000	9000
