Id	Name	Desc	IsRangeAttack	GroundType	CharacterRoleType	Hp	HpInc	At	AtInc	Ap	ApInc	Df	DfInc	AttackSpeed	AttackIndex	SkillIndex	BulletResName	SpriteResName	AnimatorResName
17	CHARACTER_NAME_0017	CHARACTER_DESC_0017	false	Air	Melee	395.25/534.75	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	18	BattleBulletElement	FireSmallA	FireSmall
18	CHARACTER_NAME_0018	CHARACTER_DESC_0018	false	Ground	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	19	BattleBulletElement	FrogB	Frog
19	CHARACTER_NAME_0019	CHARACTER_DESC_0019	false	Ground	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	20	BattleBulletElement	GhastB	Ghast
20	CHARACTER_NAME_0020	CHARACTER_DESC_0020	false	Ground	Melee	346.8/469.2	30	36.55/49.45	0.76	36.55/49.45	0.76	26.35/35.65	0.72	0.71	0	21	BattleBulletElement	GnomeA	Gnome
21	CHARACTER_NAME_0021	CHARACTER_DESC_0023	false	Air	Melee	367.2/496.8	31	43.35/58.65	0.84	43.35/58.65	0.84	20.4/27.6	0.56	0.74	0	22	BattleBulletElement	HeadD	Head
22	CHARACTER_NAME_0022	CHARACTER_DESC_0024	false	Ground	Melee	375.7/508.3	33	51/69	1.06	51/69	1.06	17.85/24.15	0.4	1.02	0	23	BattleBulletElement	KlackonA	Klackon
23	CHARACTER_NAME_0023	CHARACTER_DESC_0025	false	Ground	Melee	408.85/553.15	33	35.7/48.3	0.87	35.7/48.3	0.87	32.3/43.7	0.81	0.67	0	24	BattleBulletElement	LurkerA	Lurker
24	CHARACTER_NAME_0024	CHARACTER_DESC_0026	false	Air	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	25	BattleBulletElement	MaskA	Mask
25	CHARACTER_NAME_0025	CHARACTER_DESC_0027	false	Air	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	26	BattleBulletElement	MothA	Moth
26	CHARACTER_NAME_0026	CHARACTER_DESC_0028	false	Ground	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	27	BattleBulletElement	MummyC	Mummy
27	CHARACTER_NAME_0027	CHARACTER_DESC_0030	false	Ground	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	28	BattleBulletElement	PuddleB	Puddle
28	CHARACTER_NAME_0028	CHARACTER_DESC_0031	false	Ground	Melee	503.2/680.8	61	37.4/50.6	0.93	37.4/50.6	0.93	34/46	1.1	0.61	0	29	BattleBulletElement	PyramidA	Pyramid
29	CHARACTER_NAME_0029	CHARACTER_DESC_0032	false	Ground	Melee	363.8/492.2	32	47.6/64.4	1.17	47.6/64.4	1.17	17/23	0.41	0.76	0	30	BattleBulletElement	ReaperA	Reaper
30	CHARACTER_NAME_0030	CHARACTER_DESC_0033	false	Ground	Melee	511.7/692.3	68	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	31	BattleBulletElement	RobotB	Robot
31	CHARACTER_NAME_0031	CHARACTER_DESC_0034	false	Ground	Melee	368.9/499.1	33	45.05/60.95	0.91	45.05/60.95	0.91	0/0	0	0.58	0	32	BattleBulletElement	ScorpionC	Scorpion
32	CHARACTER_NAME_0032	CHARACTER_DESC_0035	false	Air	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	33	BattleBulletElement	SentryC	Sentry
33	CHARACTER_NAME_0033	CHARACTER_DESC_0036	false	Air	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	34	BattleBulletElement	SentryCopterC	SentryCopter
34	CHARACTER_NAME_0034	CHARACTER_DESC_0037	false	Air	Melee	434.35/587.65	48	28.9/39.1	0.7	28.9/39.1	0.7	52.7/71.3	1.34	0.58	0	35	BattleBulletElement	ShieldF	Shield
35	CHARACTER_NAME_0035	CHARACTER_DESC_0038	false	Ground	Melee	444.55/601.45	31	39.1/52.9	0.83	39.1/52.9	0.83	32.3/43.7	0.83	0.83	0	36	BattleBulletElement	SkeletonD	Skeleton
36	CHARACTER_NAME_0036	CHARACTER_DESC_0039	false	Air	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	37	BattleBulletElement	SkullFlamingA	SkullFlaming
37	CHARACTER_NAME_0037	CHARACTER_DESC_0041	false	Ground	Melee	462.4/625.6	56	32.3/43.7	0.91	32.3/43.7	0.91	0/0	0	0.58	0	38	BattleBulletElement	SlimeI	Slime
38	CHARACTER_NAME_0038	CHARACTER_DESC_0042	false	Ground	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	39	BattleBulletElement	SlimeSquareA	SlimeSquare
39	CHARACTER_NAME_0039	CHARACTER_DESC_0043	false	Ground	Melee	368.9/499.1	33	43.35/58.65	0.91	43.35/58.65	0.91	0/0	0	0.58	0	40	BattleBulletElement	SnakeH	Snake
40	CHARACTER_NAME_0040	CHARACTER_DESC_0044	false	Air	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	41	BattleBulletElement	SpaceA	Space
41	CHARACTER_NAME_0041	CHARACTER_DESC_0045	false	Ground	Melee	368.9/499.1	33	40.8/55.2	1.06	40.8/55.2	1.06	28.9/39.1	0	0.58	0	42	BattleBulletElement	SphereA	Sphere
42	CHARACTER_NAME_0042	CHARACTER_DESC_0046	false	Ground	Melee	380.8/515.2	33	34.85/47.15	0.76	34.85/47.15	0.76	17.85/24.15	0.43	1.1	0	43	BattleBulletElement	SwordA	Sword
43	CHARACTER_NAME_0043	CHARACTER_DESC_0048	false	Air	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	44	BattleBulletElement	WaterA	Water
44	CHARACTER_NAME_0044	CHARACTER_DESC_0050	false	Ground	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	45	BattleBulletElement	WitchE	Witch
45	CHARACTER_NAME_0045	CHARACTER_DESC_0051	false	Ground	Melee	368.9/499.1	33	40.8/55.2	0.91	40.8/55.2	0.91	0/0	0	0.58	0	46	BattleBulletElement	WormE	Worm
46	CHARACTER_NAME_0046	CHARACTER_DESC_0052	false	Ground	Melee	489.6/662.4	56	43.35/58.65	0.92	43.35/58.65	0.92	38.25/51.75	1.08	0.74	0	47	BattleBulletElement	ZombieB	Zombie
