Id	InvokeSkillIndex	AfterSkillIndex	Name	Desc	SkillActiveCondition	SkillAbilityType	StatusChangeType	InvokeCount	InvokeTime	SkillTarget	SkillValue	SkillValueType	RefSkillValueTarget	RefSkillAbilityType	RefSkillValueAmount	RefHealthType	BattleStateType	BattleStateSeconds	InvokeParticleIndex	ApplyParticleIndex	AfterParticleIndex
27	0	0	SKILL_NAME_0022	SKILL_DESC_0022	OnActive	HealthPoint	Decrease	1	0	Enemy	40	Number	Self	MagicalDamage	0.35	None	None	0	9000	9000	9000
28	0	0	SKILL_NAME_0022	SKILL_DESC_0022	OnActive	PhysicalRegistance	Decrease	1	5	Enemy	14	Number	Self	MagicalDamage	0.125	None	None	0	9000	9000	9000
29	0	0	SKILL_NAME_0023	SKILL_DESC_0023	OnActive	CriticalProbability	Increase	1	5	Enemy	15	Percent	Self	PhysicalDamage	0.05	None	None	0	9000	9000	9000
30	0	0	SKILL_NAME_0024	SKILL_DESC_0024	OnActive	HealthPoint	Increase	1	0	Enemy	60	Number	Self	HealthPoint	0.05	MaxHealth	None	0	9000	9000	9000
31	0	0	SKILL_NAME_0025	SKILL_DESC_0025	OnActive	BehaveSpeed	Decrease	1	5	Enemy	25	Percent	Self	MagicalDamage	0.15	None	None	0	9000	9000	9000
32	40261	0	SKILL_NAME_0026	SKILL_DESC_0026	OnActive	PhysicalDamage	Increase	1	10	Enemy	0	Number	Self	PhysicalRegistance	1	None	None	0	9000	9000	9000
33	0	0	SKILL_NAME_0026	SKILL_DESC_0026	OnActive	PhysicalRegistance	Decrease	1	10	Enemy	0	Number	Self	PhysicalRegistance	1	None	None	0	9000	9000	9000
34	0	0	SKILL_NAME_0027	SKILL_DESC_0027	OnActive	HealthPoint	Decrease	1	0	Enemy	50	Number	Self	MagicalDamage	0.45	None	None	0	9000	9000	9000
35	0	0	SKILL_NAME_0027	SKILL_DESC_0027	OnActive	PhysicalRegistance	Decrease	1	5	Enemy	5	Number	Self	MagicalDamage	0.15	None	None	0	9000	9000	9000
36	0	0	SKILL_NAME_0028	SKILL_DESC_0028	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
37	0	0	SKILL_NAME_0029	SKILL_DESC_0029	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
38	0	0	SKILL_NAME_0030	SKILL_DESC_0030	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
39	0	0	SKILL_NAME_0031	SKILL_DESC_0031	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
40	0	0	SKILL_NAME_0032	SKILL_DESC_0032	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
41	0	0	SKILL_NAME_0033	SKILL_DESC_0033	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
42	0	0	SKILL_NAME_0034	SKILL_DESC_0034	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
43	0	0	SKILL_NAME_0035	SKILL_DESC_0035	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
44	0	0	SKILL_NAME_0036	SKILL_DESC_0036	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
45	0	0	SKILL_NAME_0037	SKILL_DESC_0037	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
46	0	0	SKILL_NAME_0038	SKILL_DESC_0038	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
47	0	0	SKILL_NAME_0039	SKILL_DESC_0039	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
48	0	0	SKILL_NAME_0040	SKILL_DESC_0040	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
49	0	0	SKILL_NAME_0041	SKILL_DESC_0041	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
50	0	0	SKILL_NAME_0042	SKILL_DESC_0042	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
51	0	0	SKILL_NAME_0043	SKILL_DESC_0043	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
52	0	0	SKILL_NAME_0044	SKILL_DESC_0044	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
53	0	0	SKILL_NAME_0045	SKILL_DESC_0045	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
54	0	0	SKILL_NAME_0046	SKILL_DESC_0046	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
55	0	0	SKILL_NAME_0047	SKILL_DESC_0047	OnActive	PhysicalDamage	Decrease	1	0	Enemy	50	Number	Self	PhysicalDamage	1	None	None	0	9000	9000	9000
